,rep,model2,time,variable,type,value
1,Rep01,JM_value,12,AUC,training,0.892404508758247
2,Rep02,JM_value,12,AUC,training,0.898356333585146
3,Rep03,JM_value,12,AUC,training,0.913349341235002
4,Rep04,JM_value,12,AUC,training,0.896691443407721
5,Rep05,JM_value,12,AUC,training,0.845687398928736
6,Rep06,JM_value,12,AUC,training,0.898228230031764
7,Rep07,JM_value,12,AUC,training,0.807002957770953
8,Rep08,JM_value,12,AUC,training,0.915412746003304
9,Rep09,JM_value,12,AUC,training,0.887513167654345
10,Rep10,JM_value,12,AUC,training,0.823438688982596
11,Rep11,JM_value,12,AUC,training,0.908138016502162
12,Rep12,JM_value,12,AUC,training,0.894612054174798
13,Rep13,JM_value,12,AUC,training,0.855072763741496
14,Rep14,JM_value,12,AUC,training,0.913644820519433
15,Rep15,JM_value,12,AUC,training,0.861621561347367
16,Rep16,JM_value,12,AUC,training,0.90329684416448
17,Rep17,JM_value,12,AUC,training,0.900010632247428
18,Rep18,JM_value,12,AUC,training,0.911145125798018
19,Rep19,JM_value,12,AUC,training,0.89075359310212
20,Rep20,JM_value,12,AUC,training,0.908172129624122
21,Rep01,JM_value-slope,12,AUC,training,0.907326286716544
22,Rep02,JM_value-slope,12,AUC,training,0.906978821311873
23,Rep03,JM_value-slope,12,AUC,training,0.78433918758641
24,Rep04,JM_value-slope,12,AUC,training,0.721404836559066
25,Rep05,JM_value-slope,12,AUC,training,0.897309584819468
26,Rep06,JM_value-slope,12,AUC,training,0.820216300404721
27,Rep07,JM_value-slope,12,AUC,training,0.845652825713416
28,Rep08,JM_value-slope,12,AUC,training,0.905247578034875
29,Rep09,JM_value-slope,12,AUC,training,0.900604680132477
30,Rep10,JM_value-slope,12,AUC,training,0.763533898817831
31,Rep11,JM_value-slope,12,AUC,training,0.908109976415565
32,Rep12,JM_value-slope,12,AUC,training,0.907542573915102
33,Rep13,JM_value-slope,12,AUC,training,0.735950273997424
34,Rep14,JM_value-slope,12,AUC,training,0.891657359868361
35,Rep15,JM_value-slope,12,AUC,training,0.844939509568213
36,Rep16,JM_value-slope,12,AUC,training,0.874290785994395
37,Rep17,JM_value-slope,12,AUC,training,0.901777432223126
38,Rep18,JM_value-slope,12,AUC,training,0.856992747858834
39,Rep19,JM_value-slope,12,AUC,training,0.839123879042969
40,Rep20,JM_value-slope,12,AUC,training,0.921573710581502
41,Rep01,JM_cumulative,12,AUC,training,0.884570106727787
42,Rep02,JM_cumulative,12,AUC,training,0.856415132840653
43,Rep03,JM_cumulative,12,AUC,training,0.868691827651894
44,Rep04,JM_cumulative,12,AUC,training,0.87443875155671
45,Rep05,JM_cumulative,12,AUC,training,0.913603100430332
46,Rep06,JM_cumulative,12,AUC,training,0.905756632293
47,Rep07,JM_cumulative,12,AUC,training,0.897509811108679
48,Rep08,JM_cumulative,12,AUC,training,0.91487342304016
49,Rep09,JM_cumulative,12,AUC,training,0.850278463510084
50,Rep10,JM_cumulative,12,AUC,training,0.912847698033131
51,Rep11,JM_cumulative,12,AUC,training,0.915562915016766
52,Rep12,JM_cumulative,12,AUC,training,0.907857087837417
53,Rep13,JM_cumulative,12,AUC,training,0.893448254495077
54,Rep14,JM_cumulative,12,AUC,training,0.871734618728597
55,Rep15,JM_cumulative,12,AUC,training,0.917330016709356
56,Rep16,JM_cumulative,12,AUC,training,0.909400636669582
57,Rep17,JM_cumulative,12,AUC,training,0.903928725711426
58,Rep18,JM_cumulative,12,AUC,training,0.910692797814846
59,Rep19,JM_cumulative,12,AUC,training,0.913303534762562
60,Rep20,JM_cumulative,12,AUC,training,0.910350161739047
61,Rep01,cox(Landmark),12,AUC,training,0.737282261223105
62,Rep02,cox(Landmark),12,AUC,training,0.73506568103898
63,Rep03,cox(Landmark),12,AUC,training,0.741183218047898
64,Rep04,cox(Landmark),12,AUC,training,0.729565101898439
65,Rep05,cox(Landmark),12,AUC,training,0.738771173418528
66,Rep06,cox(Landmark),12,AUC,training,0.732226306124928
67,Rep07,cox(Landmark),12,AUC,training,0.730183804997315
68,Rep08,cox(Landmark),12,AUC,training,0.737105852534428
69,Rep09,cox(Landmark),12,AUC,training,0.72484132316349
70,Rep10,cox(Landmark),12,AUC,training,0.723309566554583
71,Rep11,cox(Landmark),12,AUC,training,0.743259115635322
72,Rep12,cox(Landmark),12,AUC,training,0.735906748300472
73,Rep13,cox(Landmark),12,AUC,training,0.737665231622954
74,Rep14,cox(Landmark),12,AUC,training,0.729384455332998
75,Rep15,cox(Landmark),12,AUC,training,0.726241093511222
76,Rep16,cox(Landmark),12,AUC,training,0.737966237445628
77,Rep17,cox(Landmark),12,AUC,training,0.736666452604131
78,Rep18,cox(Landmark),12,AUC,training,0.731918543539692
79,Rep19,cox(Landmark),12,AUC,training,0.730354459183593
80,Rep20,cox(Landmark),12,AUC,training,0.736163005699826
81,Rep01,cox(Postsurgical),12,AUC,training,0.742577004852901
82,Rep02,cox(Postsurgical),12,AUC,training,0.74819398200288
83,Rep03,cox(Postsurgical),12,AUC,training,0.753366315088748
84,Rep04,cox(Postsurgical),12,AUC,training,0.7474931898432
85,Rep05,cox(Postsurgical),12,AUC,training,0.745653298158103
86,Rep06,cox(Postsurgical),12,AUC,training,0.748535829890679
87,Rep07,cox(Postsurgical),12,AUC,training,0.746401508430732
